Subject left_Lateral-nucleus left_Basal-nucleus left_Accessory-Basal-nucleus left_Anterior-amygdaloid-area-AAA left_Central-nucleus left_Medial-nucleus left_Cortical-nucleus left_Corticoamygdaloid-transitio left_Paralaminar-nucleus left_Whole_amygdala right_Lateral-nucleus right_Basal-nucleus right_Accessory-Basal-nucleus right_Anterior-amygdaloid-area-AAA right_Central-nucleus right_Medial-nucleus right_Cortical-nucleus right_Corticoamygdaloid-transitio right_Paralaminar-nucleus right_Whole_amygdala
T1_0789.long.0789 645.167910 459.123290 287.367985 56.158478 53.179647 29.610065 34.710853 201.588858 51.913408 1818.820494 686.683745 464.638412 322.979468 57.466082 52.790931 30.728691 38.308364 207.164127 59.107576 1919.867396
T1_0790.long.0790 484.957383 349.142171 222.058493 48.871478 34.229851 18.985101 22.188993 152.910741 32.854639 1366.198850 523.225754 387.968659 245.359763 52.245120 42.635580 22.882150 22.803190 159.797168 40.173006 1497.090389
T1_0839.long.0839 613.396845 427.458990 303.843798 48.103507 48.170071 23.597982 30.415610 177.533926 45.285298 1717.806028 588.893472 414.390803 291.513635 48.650268 62.767602 27.494790 29.361687 176.916304 44.693765 1684.682325
T1_0875.long.0875 580.664446 413.737102 287.497692 52.194757 47.932324 26.254737 38.611459 172.864058 42.257376 1662.013950 615.764625 413.203290 244.666008 52.789246 51.272671 29.454886 24.067030 173.452289 46.029820 1650.699865
T1_0892.long.0892 594.456195 386.858766 256.377912 50.057149 45.466488 22.747412 27.123018 168.950789 41.060360 1593.098088 601.775418 338.132871 226.161469 55.616650 42.479866 23.424376 27.094287 156.760973 37.296664 1508.742574
T1_0939.long.0939 692.868174 468.148027 322.722983 59.868254 59.012053 21.810176 29.456378 189.779477 48.584614 1892.250135 695.416712 434.074475 296.698955 63.925836 55.288273 28.793761 30.290685 187.499264 43.856721 1835.844682
T1_1010.long.1010 734.611284 495.804387 343.539426 70.339255 58.036639 34.145838 36.214770 210.272979 51.263949 2034.228529 708.863864 514.572438 365.613056 69.003665 64.780929 30.071074 37.030890 220.055435 55.454829 2065.446181
T1_1016.long.1016 698.296527 500.631996 326.430111 55.381324 49.831422 27.978981 37.647180 199.497201 53.644879 1949.339621 652.068349 489.653547 321.941252 61.215711 51.035089 22.644437 31.841992 186.396768 52.848775 1869.645919
T1_1060.long.1060 651.871342 399.424495 271.669572 53.833332 44.289352 19.388986 24.808175 157.073718 46.849300 1669.208273 623.967453 477.815564 272.331615 58.978772 48.655869 14.386949 22.196857 172.396440 53.586311 1744.315831
T1_1062.long.1062 617.936759 377.749898 245.428965 57.756126 38.749608 21.835580 28.584965 159.456941 37.459135 1584.957978 605.123899 406.799329 269.123145 59.530623 40.648884 21.748697 25.643731 171.110600 39.301658 1639.030568
T1_1127.long.1127 727.288458 460.637162 263.729799 55.669774 53.673013 24.582313 26.205925 178.834175 55.767161 1846.387780 735.618782 503.255156 281.283388 61.251694 53.358662 25.766538 24.702871 170.705606 56.846790 1912.789486
T1_1148.long.1148 528.051704 322.045693 198.809062 40.632510 36.117675 24.922335 23.762263 127.397087 34.443888 1336.182218 497.274429 330.785238 205.455615 40.905267 46.638920 26.501616 21.915846 124.057062 35.477230 1329.011224
T1_1159.long.1159 728.316736 521.433101 320.098840 65.490867 62.769768 28.019466 29.527110 210.420206 52.055486 2018.131581 737.983553 484.100173 299.069717 66.677557 59.607419 36.340829 32.400793 205.935089 50.901442 1973.016571
T1_1163.long.1163 677.927490 456.626695 276.282355 61.283327 54.521065 31.746239 29.933314 178.374025 50.622746 1817.317255 694.334842 438.595664 284.214217 59.791509 51.370939 24.086283 31.825671 164.749922 44.160903 1793.129950
T1_1216.long.1216 584.224534 403.955141 272.700171 49.878250 57.419576 30.018846 31.378591 184.506157 43.764968 1657.846233 631.878087 437.750711 288.894792 52.203462 57.071658 25.805555 30.960436 195.406122 46.850568 1766.821392
T1_1238.long.1238 693.499071 469.666498 298.370709 51.069443 45.521589 24.757944 30.902666 180.672153 57.072030 1851.532104 737.779773 479.443528 303.723317 57.487883 49.784088 28.536338 29.101280 188.441909 52.903956 1927.202072
T1_1255.long.1255 729.262570 475.729514 305.985163 56.217642 53.558394 33.116548 28.620090 203.203583 49.211618 1934.905122 709.543556 502.439107 350.782799 56.314325 62.150105 32.616277 35.073269 187.669137 47.792659 1984.381236
T1_1306.long.1306 501.444091 350.747485 221.806215 40.761448 37.917290 27.022313 23.471029 159.667319 40.568932 1403.406122 562.452115 384.315444 227.190065 48.453234 47.898949 33.155360 23.408665 168.312079 42.125880 1537.311790
T1_1319.long.1319 557.522631 392.190807 277.517345 47.031838 54.622987 27.741721 31.565710 180.294518 42.332663 1610.820220 650.178484 460.725406 320.135265 54.441735 52.468702 31.282245 33.914045 183.958868 45.993750 1833.098500
